,Actual Values,Predicted Values,Serial No.
294,63.6,63.94,1
263,60.241,60.292,2
233,61.8,61.666,3
299,62.087,61.735,4
290,62.985,62.949,5
303,66.273,66.405,6
293,64.425,64.111,7
224,56.756,57.469,8
204,55.083,54.571,9
285,61.944,61.735,10
296,64.877,64.943,11
372,39.948,39.705,12
249,65.591,65.565,13
328,69.19,69.946,14
257,64.833,64.509,15
214,59.003,59.456,16
345,55.113,55.252,17
344,57.799,57.941,18
319,68.816,68.552,19
237,61.315,61.37,20
298,64.626,64.509,21
186,60.292,60.641,22
379,37.2,37.314,23
252,65.341,64.943,24
340,60.528,60.604,25
231,63.791,63.602,26
149,55.791,55.76,27
196,61.028,61.253,28
386,33.245,33.462,29
178,61.505,61.253,30
335,66.445,66.339,31
217,56.791,56.463,32
251,65.444,64.943,33
370,39.176,38.061,34
348,49.745,50.1,35
278,62.965,62.994,36
307,69.072,69.075,37
146,55.308,55.448,38
163,58.642,58.719,39
267,60.048,60.106,40
259,65.142,65.43,41
153,57.261,57.709,42
248,65.756,65.591,43
353,54.026,54.571,44
230,64.713,64.943,45
238,60.756,60.98,46
339,60.167,60.292,47
185,60.237,60.641,48
205,55.953,56.426,49
321,67.619,68.264,50
212,57.565,57.733,51
302,64.36,63.589,52
322,66.608,66.339,53
216,57.444,57.733,54
200,55.799,55.525,55
242,62.255,62.45,56
373,42.752,41.534,57
159,61.09,61.204,58
275,62.255,62.153,59
156,59.255,59.456,60
332,70.304,70.528,61
215,57.488,57.709,62
148,56.185,56.165,63
